YR_M,Bronx Precinct,BRONX_precinct_Crime_Cnt
2013-09,45.0,509
2013-09,46.0,779
2013-09,47.0,674
2013-09,48.0,767
2013-09,49.0,624
2013-09,50.0,404
2013-09,52.0,910
2013-10,40.0,1038
2013-10,41.0,680
2013-10,42.0,698
2013-10,43.0,1142
2013-10,44.0,1080
2013-10,45.0,542
2013-10,46.0,827
2013-10,47.0,830
2013-10,48.0,747
2013-10,49.0,651
2013-10,50.0,328
2013-10,52.0,928
2013-11,40.0,927
2013-11,41.0,673
2013-11,42.0,596
2013-11,43.0,1019
2013-11,44.0,970
2013-11,45.0,406
2013-11,46.0,762
2013-11,47.0,693
2013-11,48.0,662
2013-11,49.0,578
2013-11,50.0,348
2013-11,52.0,885
2013-12,40.0,931
2013-12,41.0,680
2013-12,42.0,546
2013-12,43.0,959
2013-12,44.0,906
2013-12,45.0,421
2013-12,46.0,754
2013-12,47.0,717
2013-12,48.0,618
2013-12,49.0,529
2013-12,50.0,318
2013-12,52.0,841
2014-01,40.0,893
2014-01,41.0,732
2014-01,42.0,570
2014-01,43.0,1005
2014-01,44.0,957
2014-01,45.0,468
2014-01,46.0,759
2014-01,47.0,711
2014-01,48.0,686
2014-01,49.0,551
2014-01,50.0,313
2014-01,52.0,851
2014-02,40.0,792
2014-02,41.0,553
2014-02,42.0,571
2014-02,43.0,858
2014-02,44.0,812
2014-02,45.0,430
2014-02,46.0,654
2014-02,47.0,617
2014-02,48.0,538
2014-02,49.0,439
2014-02,50.0,307
2014-02,52.0,742
2014-03,40.0,1013
2014-03,41.0,707
2014-03,42.0,716
2014-03,43.0,993
2014-03,44.0,920
2014-03,45.0,521
2014-03,46.0,836
2014-03,47.0,696
2014-03,48.0,646
2014-03,49.0,575
2014-03,50.0,374
2014-03,52.0,821
2014-04,40.0,915
2014-04,41.0,615
2014-04,42.0,615
2014-04,43.0,970
2014-04,44.0,930
2014-04,45.0,522
2014-04,46.0,794
2014-04,47.0,692
2014-04,48.0,688
2014-04,49.0,604
2014-04,50.0,315
2014-04,52.0,937
2014-05,40.0,1061
2014-05,41.0,637
2014-05,42.0,690
2014-05,43.0,1099
2014-05,44.0,1015
2014-05,45.0,532
2014-05,46.0,946
2014-05,47.0,824
2014-05,48.0,727
2014-05,49.0,576
2014-05,50.0,374
2014-05,52.0,903
2014-06,40.0,1031
2014-06,41.0,695
2014-06,42.0,627
2014-06,43.0,1076
2014-06,44.0,951
2014-06,45.0,522
2014-06,46.0,931
2014-06,47.0,785
2014-06,48.0,701
2014-06,49.0,601
2014-06,50.0,378
2014-06,52.0,983
2014-07,40.0,1012
2014-07,41.0,698
2014-07,42.0,665
2014-07,43.0,1114
2014-07,44.0,1110
2014-07,45.0,573
2014-07,46.0,889
2014-07,47.0,939
2014-07,48.0,799
2014-07,49.0,595
2014-07,50.0,389
2014-07,52.0,922
2014-08,23.0,1
2014-08,40.0,1089
2014-08,41.0,684
2014-08,42.0,701
2014-08,43.0,1066
2014-08,44.0,1202
2014-08,45.0,517
2014-08,46.0,950
2014-08,47.0,797
2014-08,48.0,826
2014-08,49.0,606
2014-08,50.0,419
2014-08,52.0,1005
2014-09,40.0,1066
2014-09,41.0,625
2014-09,42.0,698
2014-09,43.0,1038
2014-09,44.0,1078
2014-09,45.0,523
2014-09,46.0,827
2014-09,47.0,790
2014-09,48.0,795
2014-09,49.0,596
2014-09,50.0,415
2014-09,52.0,981
2014-10,40.0,1098
2014-10,41.0,668
2014-10,42.0,647
2014-10,43.0,1095
2014-10,44.0,1073
2014-10,45.0,584
2014-10,46.0,869
2014-10,47.0,786
2014-10,48.0,727
2014-10,49.0,627
2014-10,50.0,469
2014-10,52.0,1020
2014-11,40.0,976
2014-11,41.0,605
2014-11,42.0,602
2014-11,43.0,959
2014-11,44.0,932
2014-11,45.0,531
2014-11,46.0,737
2014-11,47.0,692
2014-11,48.0,687
2014-11,49.0,507
2014-11,50.0,359
2014-11,52.0,830
2014-12,40.0,847
2014-12,41.0,546
2014-12,42.0,520
2014-12,43.0,871
2014-12,44.0,742
2014-12,45.0,425
2014-12,46.0,703
2014-12,47.0,578
2014-12,48.0,564
2014-12,49.0,438
2014-12,50.0,301
2014-12,52.0,772
2015-01,40.0,893
2015-01,41.0,586
2015-01,42.0,508
2015-01,43.0,888
2015-01,44.0,854
2015-01,45.0,410
2015-01,46.0,635
2015-01,47.0,600
2015-01,48.0,545
2015-01,49.0,396
2015-01,50.0,288
2015-01,52.0,762
2015-02,40.0,767
2015-02,41.0,443
2015-02,42.0,494
2015-02,43.0,797
2015-02,44.0,682
2015-02,45.0,442
2015-02,46.0,638
2015-02,47.0,586
2015-02,48.0,495
2015-02,49.0,461
2015-02,50.0,290
2015-02,52.0,712
2015-03,40.0,931
2015-03,41.0,584
2015-03,42.0,602
2015-03,43.0,924
2015-03,44.0,882
2015-03,45.0,509
2015-03,46.0,706
2015-03,47.0,770
2015-03,48.0,550
2015-03,49.0,494
2015-03,50.0,374
2015-03,52.0,907
2015-04,40.0,1013
2015-04,41.0,609
2015-04,42.0,576
2015-04,43.0,979
2015-04,44.0,974
2015-04,45.0,531
2015-04,46.0,720
2015-04,47.0,744
2015-04,48.0,668
2015-04,49.0,503
2015-04,50.0,373
2015-04,52.0,859
2015-05,40.0,1054
2015-05,41.0,610
2015-05,42.0,656
2015-05,43.0,1061
2015-05,44.0,1096
2015-05,45.0,616
2015-05,46.0,833
2015-05,47.0,832
2015-05,48.0,775
2015-05,49.0,578
2015-05,50.0,381
2015-05,52.0,901
2015-06,40.0,1095
2015-06,41.0,589
2015-06,42.0,592
2015-06,43.0,999
2015-06,44.0,948
2015-06,45.0,580
2015-06,46.0,865
2015-06,47.0,797
2015-06,48.0,703
2015-06,49.0,531
2015-06,50.0,393
2015-06,52.0,869
2015-07,40.0,1129
2015-07,41.0,641
2015-07,42.0,660
2015-07,43.0,1061
2015-07,44.0,1109
2015-07,45.0,605
2015-07,46.0,932
2015-07,47.0,874
2015-07,48.0,772
2015-07,49.0,596
2015-07,50.0,410
2015-07,52.0,975
2015-08,40.0,1150
2015-08,41.0,680
2015-08,42.0,719
2015-08,43.0,1083
2015-08,44.0,1229
2015-08,45.0,581
2015-08,46.0,992
2015-08,47.0,899
2015-08,48.0,840
2015-08,49.0,590
2015-08,50.0,413
2015-08,52.0,936
2015-09,40.0,1183
2015-09,41.0,630
2015-09,42.0,714
2015-09,43.0,1017
2015-09,44.0,1137
2015-09,45.0,568
2015-09,46.0,848
2015-09,47.0,798
2015-09,48.0,778
2015-09,49.0,563
2015-09,50.0,434
2015-09,52.0,855
2015-10,40.0,1187
2015-10,41.0,681
2015-10,42.0,686
2015-10,43.0,1024
2015-10,44.0,1082
2015-10,45.0,575
2015-10,46.0,820
2015-10,47.0,721
2015-10,48.0,753
2015-10,49.0,593
2015-10,50.0,374
2015-10,52.0,852
2015-11,40.0,1061
2015-11,41.0,600
2015-11,42.0,667
2015-11,43.0,889
2015-11,44.0,913
2015-11,45.0,502
2015-11,46.0,789
2015-11,47.0,789
2015-11,48.0,662
2015-11,49.0,519
2015-11,50.0,338
2015-11,52.0,801
2015-12,40.0,989
2015-12,41.0,534
2015-12,42.0,700
2015-12,43.0,881
2015-12,44.0,877
2015-12,45.0,542
2015-12,46.0,683
2015-12,47.0,795
2015-12,48.0,671
2015-12,49.0,537
2015-12,50.0,402
2015-12,52.0,834
2016-01,40.0,1013
2016-01,41.0,621
2016-01,42.0,700
