YR_M,Queens Precinct,QUEENS_precinct_Crime_Cnt
2013-04,111.0,263
2013-04,112.0,302
2013-04,113.0,773
2013-04,114.0,724
2013-04,115.0,671
2013-05,100.0,176
2013-05,101.0,382
2013-05,102.0,578
2013-05,103.0,746
2013-05,104.0,581
2013-05,105.0,655
2013-05,106.0,520
2013-05,107.0,427
2013-05,108.0,480
2013-05,109.0,675
2013-05,110.0,639
2013-05,111.0,261
2013-05,112.0,315
2013-05,113.0,764
2013-05,114.0,820
2013-05,115.0,700
2013-06,100.0,221
2013-06,101.0,351
2013-06,102.0,547
2013-06,103.0,710
2013-06,104.0,620
2013-06,105.0,579
2013-06,106.0,483
2013-06,107.0,435
2013-06,108.0,456
2013-06,109.0,690
2013-06,110.0,604
2013-06,111.0,250
2013-06,112.0,270
2013-06,113.0,746
2013-06,114.0,748
2013-06,115.0,709
2013-07,100.0,248
2013-07,101.0,453
2013-07,102.0,645
2013-07,103.0,750
2013-07,104.0,651
2013-07,105.0,648
2013-07,106.0,534
2013-07,107.0,425
2013-07,108.0,531
2013-07,109.0,694
2013-07,110.0,614
2013-07,111.0,245
2013-07,112.0,292
2013-07,113.0,786
2013-07,114.0,810
2013-07,115.0,724
2013-08,100.0,259
2013-08,101.0,424
2013-08,102.0,622
2013-08,103.0,802
2013-08,104.0,653
2013-08,105.0,618
2013-08,106.0,508
2013-08,107.0,387
2013-08,108.0,547
2013-08,109.0,663
2013-08,110.0,652
2013-08,111.0,241
2013-08,112.0,317
2013-08,113.0,738
2013-08,114.0,818
2013-08,115.0,726
2013-09,100.0,208
2013-09,101.0,358
2013-09,102.0,597
2013-09,103.0,739
2013-09,104.0,642
2013-09,105.0,617
2013-09,106.0,519
2013-09,107.0,455
2013-09,108.0,505
2013-09,109.0,621
2013-09,110.0,646
2013-09,111.0,253
2013-09,112.0,262
2013-09,113.0,752
2013-09,114.0,811
2013-09,115.0,692
2013-10,100.0,204
2013-10,101.0,384
2013-10,102.0,685
2013-10,103.0,824
2013-10,104.0,701
