YR_M,Brooklyn Precinct,BROOKLYN_precinct_Crime_Cnt
2016-07,69.0,367
2016-07,70.0,629
2016-07,71.0,576
2016-07,72.0,421
2016-07,73.0,863
2016-07,75.0,1360
2016-07,76.0,214
2016-07,77.0,554
2016-07,78.0,357
2016-07,79.0,626
2016-07,81.0,528
2016-07,83.0,594
2016-07,84.0,454
2016-07,88.0,330
2016-07,90.0,560
2016-07,94.0,284
2016-08,60.0,601
2016-08,61.0,475
2016-08,62.0,478
2016-08,63.0,436
2016-08,66.0,392
2016-08,67.0,944
2016-08,68.0,489
2016-08,69.0,443
2016-08,70.0,675
2016-08,71.0,567
2016-08,72.0,489
2016-08,73.0,884
2016-08,75.0,1317
2016-08,76.0,238
2016-08,77.0,617
2016-08,78.0,348
2016-08,79.0,674
2016-08,81.0,497
2016-08,83.0,585
2016-08,84.0,461
2016-08,88.0,385
2016-08,90.0,587
2016-08,94.0,328
2016-09,60.0,476
2016-09,61.0,447
2016-09,62.0,454
2016-09,63.0,403
2016-09,66.0,381
2016-09,67.0,838
2016-09,68.0,460
2016-09,69.0,415
2016-09,70.0,590
2016-09,71.0,528
2016-09,72.0,411
2016-09,73.0,797
2016-09,75.0,1281
2016-09,76.0,226
2016-09,77.0,554
2016-09,78.0,368
2016-09,79.0,591
2016-09,81.0,409
2016-09,83.0,586
2016-09,84.0,490
2016-09,88.0,364
2016-09,90.0,602
2016-09,94.0,345
2016-10,60.0,466
2016-10,61.0,430
2016-10,62.0,524
2016-10,63.0,474
2016-10,66.0,398
2016-10,67.0,839
2016-10,68.0,474
2016-10,69.0,409
2016-10,70.0,645
2016-10,71.0,629
2016-10,72.0,451
2016-10,73.0,772
2016-10,75.0,1254
2016-10,76.0,223
2016-10,77.0,541
2016-10,78.0,371
2016-10,79.0,606
2016-10,81.0,432
2016-10,83.0,575
2016-10,84.0,454
2016-10,88.0,332
2016-10,90.0,585
2016-10,94.0,311
2016-11,60.0,423
2016-11,61.0,429
2016-11,62.0,486
2016-11,63.0,350
2016-11,66.0,388
2016-11,67.0,820
2016-11,68.0,432
2016-11,69.0,344
2016-11,70.0,610
2016-11,71.0,551
2016-11,72.0,410
2016-11,73.0,678
2016-11,75.0,1209
2016-11,76.0,168
2016-11,77.0,476
2016-11,78.0,349
2016-11,79.0,612
2016-11,81.0,418
2016-11,83.0,490
2016-11,84.0,426
2016-11,88.0,289
2016-11,90.0,533
2016-11,94.0,313
2016-12,60.0,427
2016-12,61.0,453
2016-12,62.0,384
2016-12,63.0,402
2016-12,66.0,351
2016-12,67.0,753
2016-12,68.0,399
2016-12,69.0,333
2016-12,70.0,563
2016-12,71.0,576
2016-12,72.0,403
2016-12,73.0,690
2016-12,75.0,1121
2016-12,76.0,210
2016-12,77.0,507
2016-12,78.0,351
2016-12,79.0,515
2016-12,81.0,400
2016-12,83.0,460
2016-12,84.0,435
2016-12,88.0,281
2016-12,90.0,466
2016-12,94.0,283
2017-01,60.0,444
2017-01,61.0,482
2017-01,62.0,409
2017-01,63.0,371
2017-01,66.0,384
2017-01,67.0,843
2017-01,68.0,386
2017-01,69.0,352
2017-01,70.0,603
2017-01,71.0,557
2017-01,72.0,439
2017-01,73.0,719
2017-01,75.0,1207
2017-01,76.0,201
2017-01,77.0,497
2017-01,78.0,330
2017-01,79.0,529
2017-01,81.0,396
2017-01,83.0,545
2017-01,84.0,462
2017-01,88.0,326
2017-01,90.0,498
2017-01,94.0,290
2017-02,60.0,386
2017-02,61.0,374
2017-02,62.0,380
2017-02,63.0,302
2017-02,66.0,305
2017-02,67.0,726
2017-02,68.0,375
2017-02,69.0,307
2017-02,70.0,538
2017-02,71.0,429
2017-02,72.0,353
2017-02,73.0,609
2017-02,75.0,1082
2017-02,76.0,167
2017-02,77.0,406
2017-02,78.0,299
2017-02,79.0,506
2017-02,81.0,365
2017-02,83.0,419
2017-02,84.0,373
2017-02,88.0,286
2017-02,90.0,473
2017-02,94.0,261
2017-03,60.0,418
2017-03,61.0,413
2017-03,62.0,406
2017-03,63.0,365
2017-03,66.0,353
2017-03,67.0,739
2017-03,68.0,380
2017-03,69.0,328
2017-03,70.0,562
2017-03,71.0,504
2017-03,72.0,383
2017-03,73.0,653
2017-03,75.0,1168
2017-03,76.0,203
2017-03,77.0,498
2017-03,78.0,311
2017-03,79.0,498
2017-03,81.0,406
2017-03,83.0,464
2017-03,84.0,432
2017-03,88.0,332
2017-03,90.0,465
2017-03,94.0,251
2017-04,60.0,487
2017-04,61.0,433
2017-04,62.0,424
2017-04,63.0,359
2017-04,66.0,351
2017-04,67.0,745
2017-04,68.0,441
2017-04,69.0,328
2017-04,70.0,592
2017-04,71.0,455
2017-04,72.0,415
2017-04,73.0,662
2017-04,75.0,1176
2017-04,76.0,208
2017-04,77.0,471
2017-04,78.0,300
2017-04,79.0,496
2017-04,81.0,402
2017-04,83.0,526
2017-04,84.0,413
2017-04,88.0,256
2017-04,90.0,559
2017-04,94.0,271
2017-05,60.0,474
2017-05,61.0,463
2017-05,62.0,407
2017-05,63.0,380
2017-05,66.0,385
2017-05,67.0,802
2017-05,68.0,432
2017-05,69.0,353
2017-05,70.0,665
2017-05,71.0,524
2017-05,72.0,455
2017-05,73.0,762
2017-05,75.0,1315
2017-05,76.0,235
2017-05,77.0,523
2017-05,78.0,339
2017-05,79.0,615
2017-05,81.0,470
2017-05,83.0,561
2017-05,84.0,502
2017-05,88.0,299
2017-05,90.0,634
2017-05,94.0,327
2017-06,60.0,535
2017-06,61.0,448
2017-06,62.0,463
2017-06,63.0,415
2017-06,66.0,318
2017-06,67.0,771
2017-06,68.0,445
2017-06,69.0,364
2017-06,70.0,597
2017-06,71.0,511
2017-06,72.0,415
2017-06,73.0,757
2017-06,75.0,1336
2017-06,76.0,246
2017-06,77.0,506
2017-06,78.0,343
2017-06,79.0,586
2017-06,81.0,422
2017-06,83.0,583
2017-06,84.0,440
2017-06,88.0,272
2017-06,90.0,600
2017-06,94.0,314
2017-07,60.0,618
2017-07,61.0,497
2017-07,62.0,481
2017-07,63.0,399
2017-07,66.0,356
2017-07,67.0,855
2017-07,68.0,456
2017-07,69.0,441
2017-07,70.0,642
2017-07,71.0,517
2017-07,72.0,471
2017-07,73.0,790
2017-07,75.0,1366
2017-07,76.0,220
2017-07,77.0,498
2017-07,78.0,316
2017-07,79.0,662
2017-07,81.0,427
2017-07,83.0,612
2017-07,84.0,441
2017-07,88.0,301
2017-07,90.0,664
2017-07,94.0,369
2017-08,60.0,518
2017-08,61.0,487
2017-08,62.0,448
2017-08,63.0,405
2017-08,66.0,325
2017-08,67.0,804
2017-08,68.0,419
2017-08,69.0,402
2017-08,70.0,590
2017-08,71.0,608
2017-08,72.0,454
2017-08,73.0,828
2017-08,75.0,1369
2017-08,76.0,227
2017-08,77.0,593
2017-08,78.0,359
2017-08,79.0,660
2017-08,81.0,440
2017-08,83.0,548
2017-08,84.0,467
2017-08,88.0,305
2017-08,90.0,551
2017-08,94.0,359
2017-09,60.0,499
2017-09,61.0,485
2017-09,62.0,492
2017-09,63.0,376
2017-09,66.0,340
2017-09,67.0,773
2017-09,68.0,424
2017-09,69.0,381
2017-09,70.0,589
2017-09,71.0,529
2017-09,72.0,448
2017-09,73.0,782
2017-09,75.0,1269
2017-09,76.0,209
2017-09,77.0,547
2017-09,78.0,300
2017-09,79.0,676
2017-09,81.0,419
2017-09,83.0,592
2017-09,84.0,512
2017-09,88.0,347
2017-09,90.0,560
2017-09,94.0,323
2017-10,60.0,498
2017-10,61.0,491
2017-10,62.0,487
2017-10,63.0,422
2017-10,66.0,321
2017-10,67.0,817
2017-10,68.0,424
2017-10,69.0,389
2017-10,70.0,612
2017-10,71.0,573
2017-10,72.0,483
2017-10,73.0,707
2017-10,75.0,1359
2017-10,76.0,238
2017-10,77.0,516
2017-10,78.0,304
2017-10,79.0,604
2017-10,81.0,420
2017-10,83.0,572
2017-10,84.0,476
2017-10,88.0,303
2017-10,90.0,553
2017-10,94.0,324
2017-11,60.0,388
2017-11,61.0,438
2017-11,62.0,392
2017-11,63.0,408
2017-11,66.0,331
2017-11,67.0,744
2017-11,68.0,371
2017-11,69.0,374
2017-11,70.0,545
2017-11,71.0,492
2017-11,72.0,430
2017-11,73.0,736
2017-11,75.0,1074
2017-11,76.0,207
2017-11,77.0,480
2017-11,78.0,322
2017-11,79.0,553
2017-11,81.0,388
2017-11,83.0,502
2017-11,84.0,439
2017-11,88.0,258
2017-11,90.0,507
2017-11,94.0,320
2017-12,60.0,399
2017-12,61.0,406
2017-12,62.0,436
2017-12,63.0,329
2017-12,66.0,254
2017-12,67.0,670
2017-12,68.0,310
2017-12,69.0,323
2017-12,70.0,487
2017-12,71.0,421
2017-12,72.0,401
2017-12,73.0,682
2017-12,75.0,1010
2017-12,76.0,171
2017-12,77.0,469
2017-12,78.0,255
2017-12,79.0,546
2017-12,81.0,394
2017-12,83.0,461
2017-12,84.0,341
2017-12,88.0,298
2017-12,90.0,481
2017-12,94.0,238
