YR_M,Brooklyn Precinct,BROOKLYN_precinct_Crime_Cnt
2012-11,83.0,534
2012-11,84.0,386
2012-11,88.0,338
2012-11,90.0,480
2012-11,94.0,262
2012-12,60.0,435
2012-12,61.0,511
2012-12,62.0,408
2012-12,63.0,428
2012-12,66.0,410
2012-12,67.0,758
2012-12,68.0,395
2012-12,69.0,380
2012-12,70.0,690
2012-12,71.0,528
2012-12,72.0,403
2012-12,73.0,761
2012-12,75.0,1282
2012-12,76.0,216
2012-12,77.0,584
2012-12,78.0,375
2012-12,79.0,569
2012-12,81.0,529
2012-12,83.0,538
2012-12,84.0,378
2012-12,88.0,337
2012-12,90.0,496
2012-12,94.0,275
2013-01,60.0,472
2013-01,61.0,518
2013-01,62.0,485
2013-01,63.0,355
2013-01,66.0,399
2013-01,67.0,772
2013-01,68.0,471
2013-01,69.0,387
2013-01,70.0,606
2013-01,71.0,606
2013-01,72.0,398
2013-01,73.0,918
2013-01,75.0,1291
2013-01,76.0,237
2013-01,77.0,612
2013-01,78.0,307
2013-01,79.0,652
2013-01,81.0,523
2013-01,83.0,553
2013-01,84.0,397
2013-01,88.0,369
2013-01,90.0,503
2013-01,94.0,232
2013-02,60.0,367
2013-02,61.0,412
2013-02,62.0,424
2013-02,63.0,351
2013-02,66.0,341
2013-02,67.0,632
2013-02,68.0,342
2013-02,69.0,329
2013-02,70.0,533
2013-02,71.0,546
2013-02,72.0,394
2013-02,73.0,722
2013-02,75.0,1180
2013-02,76.0,210
2013-02,77.0,511
2013-02,78.0,281
2013-02,79.0,601
2013-02,81.0,477
2013-02,83.0,469
2013-02,84.0,387
2013-02,88.0,303
2013-02,90.0,468
2013-02,94.0,234
2013-03,60.0,486
2013-03,61.0,448
2013-03,62.0,428
2013-03,63.0,379
2013-03,66.0,397
2013-03,67.0,725
2013-03,68.0,391
2013-03,69.0,390
2013-03,70.0,608
2013-03,71.0,531
2013-03,72.0,388
2013-03,73.0,851
2013-03,75.0,1348
2013-03,76.0,198
2013-03,77.0,617
2013-03,78.0,282
2013-03,79.0,628
2013-03,81.0,493
2013-03,83.0,508
2013-03,84.0,393
2013-03,88.0,348
2013-03,90.0,549
2013-03,94.0,253
2013-04,60.0,453
2013-04,61.0,455
2013-04,62.0,469
2013-04,63.0,412
2013-04,66.0,394
2013-04,67.0,751
2013-04,68.0,448
2013-04,69.0,421
2013-04,70.0,635
2013-04,71.0,590
2013-04,72.0,457
2013-04,73.0,823
2013-04,75.0,1425
2013-04,76.0,218
2013-04,77.0,600
2013-04,78.0,314
2013-04,79.0,661
2013-04,81.0,546
2013-04,83.0,541
2013-04,84.0,435
2013-04,88.0,350
2013-04,90.0,519
2013-04,94.0,291
2013-05,60.0,528
2013-05,61.0,480
2013-05,62.0,469
2013-05,63.0,399
2013-05,66.0,411
2013-05,67.0,826
2013-05,68.0,464
2013-05,69.0,428
2013-05,70.0,673
2013-05,71.0,575
2013-05,72.0,489
2013-05,73.0,918
2013-05,75.0,1495
2013-05,76.0,259
2013-05,77.0,673
2013-05,78.0,331
2013-05,79.0,730
2013-05,81.0,544
2013-05,83.0,585
2013-05,84.0,413
2013-05,88.0,362
2013-05,90.0,594
2013-05,94.0,308
2013-06,60.0,573
2013-06,61.0,523
2013-06,62.0,464
2013-06,63.0,419
2013-06,66.0,400
2013-06,67.0,845
2013-06,68.0,413
2013-06,69.0,407
2013-06,70.0,690
2013-06,71.0,601
2013-06,72.0,454
2013-06,73.0,950
2013-06,75.0,1444
2013-06,76.0,200
2013-06,77.0,629
2013-06,78.0,328
2013-06,79.0,673
2013-06,81.0,623
2013-06,83.0,587
2013-06,84.0,402
2013-06,88.0,368
2013-06,90.0,585
2013-06,94.0,324
2013-07,60.0,583
2013-07,61.0,488
2013-07,62.0,471
2013-07,63.0,428
2013-07,66.0,404
2013-07,67.0,810
2013-07,68.0,440
2013-07,69.0,451
2013-07,70.0,695
2013-07,71.0,597
2013-07,72.0,478
2013-07,73.0,937
2013-07,75.0,1530
2013-07,76.0,263
2013-07,77.0,744
2013-07,78.0,357
2013-07,79.0,732
2013-07,81.0,589
2013-07,83.0,664
2013-07,84.0,437
2013-07,88.0,383
2013-07,90.0,627
2013-07,94.0,376
2013-08,60.0,564
2013-08,61.0,489
2013-08,62.0,511
2013-08,63.0,417
2013-08,66.0,379
2013-08,67.0,838
2013-08,68.0,449
2013-08,69.0,465
2013-08,70.0,676
2013-08,71.0,610
2013-08,72.0,491
2013-08,73.0,908
2013-08,75.0,1475
2013-08,76.0,253
2013-08,77.0,695
2013-08,78.0,383
2013-08,79.0,683
2013-08,81.0,647
2013-08,83.0,601
2013-08,84.0,477
2013-08,88.0,371
2013-08,90.0,621
2013-08,94.0,346
2013-09,60.0,549
2013-09,61.0,492
2013-09,62.0,480
2013-09,63.0,417
2013-09,66.0,379
2013-09,67.0,929
2013-09,68.0,452
2013-09,69.0,381
2013-09,70.0,740
2013-09,71.0,558
2013-09,72.0,449
2013-09,73.0,893
2013-09,75.0,1533
2013-09,76.0,247
2013-09,77.0,691
2013-09,78.0,375
2013-09,79.0,769
2013-09,81.0,570
2013-09,83.0,593
2013-09,84.0,442
2013-09,88.0,359
2013-09,90.0,585
2013-09,94.0,331
2013-09,121.0,1
2013-10,60.0,559
2013-10,61.0,481
2013-10,62.0,530
2013-10,63.0,447
2013-10,66.0,453
2013-10,67.0,927
2013-10,68.0,417
2013-10,69.0,428
2013-10,70.0,672
2013-10,71.0,588
2013-10,72.0,480
2013-10,73.0,922
2013-10,75.0,1460
2013-10,76.0,243
2013-10,77.0,755
2013-10,78.0,352
2013-10,79.0,759
2013-10,81.0,581
2013-10,83.0,633
2013-10,84.0,479
2013-10,88.0,394
2013-10,90.0,607
2013-10,94.0,317
2013-11,60.0,529
2013-11,61.0,485
2013-11,62.0,456
2013-11,63.0,396
2013-11,66.0,386
2013-11,67.0,743
2013-11,68.0,415
2013-11,69.0,434
2013-11,70.0,567
