YR_M,Manhattan Precinct,MANHATTAN_precinct_Crime_Cnt
2016-10,5.0,361
2016-10,6.0,426
2016-10,7.0,384
2016-10,9.0,519
2016-10,10.0,331
2016-10,13.0,578
2016-10,14.0,860
2016-10,17.0,289
2016-10,18.0,687
2016-10,19.0,550
2016-10,20.0,342
2016-10,22.0,38
2016-10,23.0,461
2016-10,24.0,415
2016-10,25.0,563
2016-10,26.0,256
2016-10,28.0,455
2016-10,30.0,390
2016-10,32.0,582
2016-10,33.0,317
2016-10,34.0,537
2016-11,1.0,506
2016-11,5.0,337
2016-11,6.0,336
2016-11,7.0,351
2016-11,9.0,412
2016-11,10.0,279
2016-11,13.0,513
2016-11,14.0,817
2016-11,17.0,234
2016-11,18.0,669
2016-11,19.0,459
2016-11,20.0,283
2016-11,22.0,19
2016-11,23.0,462
2016-11,24.0,397
2016-11,25.0,450
2016-11,26.0,250
2016-11,28.0,423
2016-11,30.0,387
2016-11,32.0,502
2016-11,33.0,338
2016-11,34.0,448
2016-12,1.0,538
2016-12,5.0,312
2016-12,6.0,405
2016-12,7.0,348
2016-12,9.0,475
2016-12,10.0,302
2016-12,13.0,559
2016-12,14.0,841
2016-12,17.0,257
2016-12,18.0,751
2016-12,19.0,545
2016-12,20.0,311
2016-12,22.0,18
2016-12,23.0,472
2016-12,24.0,420
2016-12,25.0,461
2016-12,26.0,209
2016-12,28.0,540
2016-12,30.0,364
2016-12,32.0,491
2016-12,33.0,339
2016-12,34.0,454
2017-01,1.0,479
2017-01,5.0,332
2017-01,6.0,329
2017-01,7.0,341
2017-01,9.0,420
2017-01,10.0,286
2017-01,13.0,505
2017-01,14.0,791
2017-01,17.0,267
2017-01,18.0,645
2017-01,19.0,538
2017-01,20.0,327
2017-01,22.0,17
2017-01,23.0,511
2017-01,24.0,402
2017-01,25.0,523
2017-01,26.0,221
2017-01,28.0,444
2017-01,30.0,288
2017-01,32.0,501
2017-01,33.0,301
2017-01,34.0,524
2017-01,52.0,1
2017-02,1.0,426
2017-02,5.0,313
2017-02,6.0,369
2017-02,7.0,321
2017-02,9.0,349
2017-02,10.0,292
2017-02,13.0,438
2017-02,14.0,750
2017-02,17.0,268
2017-02,18.0,584
2017-02,19.0,421
2017-02,20.0,265
2017-02,22.0,10
2017-02,23.0,434
2017-02,24.0,341
2017-02,25.0,467
2017-02,26.0,198
2017-02,28.0,373
2017-02,30.0,245
2017-02,32.0,440
2017-02,33.0,282
2017-02,34.0,438
2017-03,1.0,474
2017-03,5.0,310
2017-03,6.0,334
2017-03,7.0,335
2017-03,9.0,379
2017-03,10.0,326
2017-03,13.0,501
2017-03,14.0,719
2017-03,17.0,267
2017-03,18.0,671
2017-03,19.0,465
2017-03,20.0,316
2017-03,22.0,5
2017-03,23.0,452
2017-03,24.0,432
2017-03,25.0,473
2017-03,26.0,223
2017-03,28.0,442
2017-03,30.0,268
2017-03,32.0,459
2017-03,33.0,318
2017-03,34.0,481
2017-04,1.0,434
2017-04,5.0,340
2017-04,6.0,396
2017-04,7.0,363
2017-04,9.0,445
2017-04,10.0,272
2017-04,13.0,506
2017-04,14.0,796
2017-04,17.0,269
2017-04,18.0,618
2017-04,19.0,530
2017-04,20.0,350
2017-04,22.0,27
2017-04,23.0,574
2017-04,24.0,447
2017-04,25.0,539
2017-04,26.0,287
2017-04,28.0,511
2017-04,30.0,296
2017-04,32.0,524
2017-04,33.0,360
2017-04,34.0,496
2017-05,1.0,495
2017-05,5.0,381
2017-05,6.0,426
2017-05,7.0,409
2017-05,9.0,425
2017-05,10.0,305
2017-05,13.0,583
2017-05,14.0,887
2017-05,17.0,313
2017-05,18.0,704
2017-05,19.0,563
2017-05,20.0,371
2017-05,22.0,22
2017-05,23.0,518
2017-05,24.0,429
2017-05,25.0,570
2017-05,26.0,282
2017-05,28.0,479
2017-05,30.0,300
2017-05,32.0,521
2017-05,33.0,357
2017-05,34.0,497
2017-06,1.0,518
2017-06,5.0,357
2017-06,6.0,398
2017-06,7.0,372
2017-06,9.0,452
2017-06,10.0,334
2017-06,13.0,545
2017-06,14.0,824
2017-06,17.0,329
2017-06,18.0,638
2017-06,19.0,575
2017-06,20.0,392
2017-06,22.0,33
2017-06,23.0,508
2017-06,24.0,439
2017-06,25.0,559
2017-06,26.0,238
2017-06,28.0,457
2017-06,30.0,297
2017-06,32.0,485
2017-06,33.0,315
2017-06,34.0,491
2017-07,1.0,524
2017-07,5.0,368
2017-07,6.0,502
2017-07,7.0,381
2017-07,9.0,429
2017-07,10.0,302
2017-07,13.0,566
2017-07,14.0,853
2017-07,17.0,304
2017-07,18.0,724
2017-07,19.0,542
2017-07,20.0,360
2017-07,22.0,36
2017-07,23.0,572
2017-07,24.0,388
2017-07,25.0,653
2017-07,26.0,226
2017-07,28.0,474
2017-07,30.0,353
2017-07,32.0,485
2017-07,33.0,370
2017-07,34.0,488
2017-08,1.0,496
2017-08,5.0,363
2017-08,6.0,502
2017-08,7.0,367
2017-08,9.0,427
2017-08,10.0,267
2017-08,13.0,588
2017-08,14.0,847
2017-08,17.0,332
2017-08,18.0,711
2017-08,19.0,582
2017-08,20.0,438
2017-08,22.0,32
2017-08,23.0,583
2017-08,24.0,456
2017-08,25.0,545
2017-08,26.0,243
2017-08,28.0,575
2017-08,30.0,319
2017-08,32.0,592
2017-08,33.0,373
2017-08,34.0,486
2017-09,1.0,525
2017-09,5.0,356
2017-09,6.0,469
2017-09,7.0,373
2017-09,9.0,405
2017-09,10.0,304
2017-09,13.0,593
2017-09,14.0,841
2017-09,17.0,256
2017-09,18.0,748
2017-09,19.0,584
2017-09,20.0,335
2017-09,22.0,37
2017-09,23.0,502
2017-09,24.0,392
2017-09,25.0,605
2017-09,26.0,257
2017-09,28.0,482
2017-09,30.0,313
2017-09,32.0,447
2017-09,33.0,347
2017-09,34.0,472
2017-10,1.0,588
2017-10,5.0,424
2017-10,6.0,494
2017-10,7.0,345
2017-10,9.0,435
2017-10,10.0,328
2017-10,13.0,625
2017-10,14.0,879
2017-10,17.0,365
2017-10,18.0,805
2017-10,19.0,535
2017-10,20.0,386
2017-10,22.0,26
2017-10,23.0,544
2017-10,24.0,417
2017-10,25.0,588
2017-10,26.0,310
2017-10,28.0,531
2017-10,30.0,280
2017-10,32.0,543
2017-10,33.0,390
2017-10,34.0,522
2017-11,1.0,485
2017-11,5.0,318
2017-11,6.0,389
2017-11,7.0,320
2017-11,9.0,445
2017-11,10.0,297
2017-11,13.0,530
2017-11,14.0,904
2017-11,17.0,331
2017-11,18.0,676
2017-11,19.0,467
2017-11,20.0,344
2017-11,22.0,24
2017-11,23.0,425
2017-11,24.0,318
2017-11,25.0,494
2017-11,26.0,291
2017-11,28.0,440
2017-11,30.0,280
2017-11,32.0,434
2017-11,33.0,277
2017-11,34.0,397
2017-12,1.0,489
2017-12,5.0,333
2017-12,6.0,334
2017-12,7.0,273
2017-12,9.0,380
2017-12,10.0,269
2017-12,13.0,488
2017-12,14.0,856
2017-12,17.0,313
2017-12,18.0,642
2017-12,19.0,503
2017-12,20.0,290
2017-12,22.0,15
2017-12,23.0,444
2017-12,24.0,337
2017-12,25.0,425
2017-12,26.0,195
2017-12,28.0,382
2017-12,30.0,241
2017-12,32.0,429
2017-12,33.0,292
2017-12,34.0,363
