YR_M,Manhattan Precinct,MANHATTAN_precinct_Crime_Cnt
2012-12,18.0,763
2012-12,19.0,556
2012-12,20.0,339
2012-12,22.0,28
2012-12,23.0,482
2012-12,24.0,383
2012-12,25.0,495
2012-12,26.0,236
2012-12,28.0,364
2012-12,30.0,379
2012-12,32.0,501
2012-12,33.0,296
2012-12,34.0,408
2013-01,1.0,448
2013-01,5.0,399
2013-01,6.0,454
2013-01,7.0,315
2013-01,9.0,493
2013-01,10.0,349
2013-01,13.0,545
2013-01,14.0,991
2013-01,17.0,272
2013-01,18.0,635
2013-01,19.0,504
2013-01,20.0,316
2013-01,22.0,11
2013-01,23.0,538
2013-01,24.0,393
2013-01,25.0,561
2013-01,26.0,266
2013-01,28.0,458
2013-01,30.0,429
2013-01,32.0,546
2013-01,33.0,333
2013-01,34.0,426
2013-02,1.0,404
2013-02,5.0,324
2013-02,6.0,396
2013-02,7.0,278
2013-02,9.0,459
2013-02,10.0,315
2013-02,13.0,469
2013-02,14.0,834
2013-02,17.0,233
2013-02,18.0,595
2013-02,19.0,505
2013-02,20.0,280
2013-02,22.0,18
2013-02,23.0,481
2013-02,24.0,344
2013-02,25.0,493
2013-02,26.0,232
2013-02,28.0,366
2013-02,30.0,401
2013-02,32.0,444
2013-02,33.0,327
2013-02,34.0,377
2013-03,1.0,488
2013-03,5.0,353
2013-03,6.0,450
2013-03,7.0,288
2013-03,9.0,553
2013-03,10.0,362
2013-03,13.0,605
2013-03,14.0,968
2013-03,17.0,269
2013-03,18.0,634
2013-03,19.0,478
2013-03,20.0,318
2013-03,22.0,19
2013-03,23.0,510
2013-03,24.0,388
2013-03,25.0,600
2013-03,26.0,254
2013-03,28.0,424
2013-03,30.0,396
2013-03,32.0,493
2013-03,33.0,330
2013-03,34.0,420
2013-04,1.0,540
2013-04,5.0,341
2013-04,6.0,460
2013-04,7.0,314
2013-04,9.0,467
2013-04,10.0,372
2013-04,13.0,592
2013-04,14.0,887
2013-04,17.0,212
2013-04,18.0,609
2013-04,19.0,502
2013-04,20.0,319
2013-04,22.0,46
2013-04,23.0,539
2013-04,24.0,360
2013-04,25.0,559
2013-04,26.0,287
2013-04,28.0,467
2013-04,30.0,397
2013-04,32.0,519
2013-04,33.0,340
2013-04,34.0,449
2013-05,1.0,489
2013-05,5.0,404
2013-05,6.0,487
2013-05,7.0,321
2013-05,9.0,498
2013-05,10.0,347
2013-05,13.0,635
2013-05,14.0,989
2013-05,17.0,254
2013-05,18.0,769
2013-05,19.0,530
2013-05,20.0,330
2013-05,22.0,46
2013-05,23.0,585
2013-05,24.0,418
2013-05,25.0,603
2013-05,26.0,300
2013-05,28.0,460
2013-05,30.0,428
2013-05,32.0,526
2013-05,33.0,370
2013-05,34.0,502
2013-06,1.0,541
2013-06,5.0,422
2013-06,6.0,517
2013-06,7.0,346
2013-06,9.0,480
2013-06,10.0,352
2013-06,13.0,607
2013-06,14.0,889
2013-06,17.0,251
2013-06,18.0,675
2013-06,19.0,595
2013-06,20.0,349
2013-06,22.0,50
2013-06,23.0,557
2013-06,24.0,380
2013-06,25.0,514
2013-06,26.0,291
2013-06,28.0,438
2013-06,30.0,436
2013-06,32.0,532
2013-06,33.0,391
2013-06,34.0,418
2013-07,1.0,566
2013-07,5.0,377
2013-07,6.0,533
2013-07,7.0,372
2013-07,9.0,532
2013-07,10.0,405
2013-07,13.0,613
2013-07,14.0,977
2013-07,17.0,293
2013-07,18.0,739
2013-07,19.0,530
2013-07,20.0,364
2013-07,22.0,61
2013-07,23.0,598
2013-07,24.0,443
2013-07,25.0,641
2013-07,26.0,290
2013-07,28.0,420
2013-07,30.0,438
2013-07,32.0,586
2013-07,33.0,423
2013-07,34.0,427
2013-08,1.0,558
2013-08,5.0,405
2013-08,6.0,509
2013-08,7.0,318
2013-08,9.0,583
2013-08,10.0,427
2013-08,13.0,645
2013-08,14.0,1001
2013-08,17.0,291
2013-08,18.0,674
2013-08,19.0,494
2013-08,20.0,354
2013-08,22.0,61
2013-08,23.0,574
2013-08,24.0,406
2013-08,25.0,611
2013-08,26.0,260
2013-08,28.0,453
2013-08,30.0,457
2013-08,32.0,547
2013-08,33.0,430
2013-08,34.0,462
2013-09,1.0,576
2013-09,5.0,398
2013-09,6.0,468
2013-09,7.0,361
