YR_M,Staten Island Precinct,STATEN_ISLAND_precinct_Crime_Cnt
2017-04,122.0,358
2017-04,123.0,186
2017-05,120.0,670
2017-05,121.0,553
2017-05,122.0,427
2017-05,123.0,238
2017-06,120.0,712
2017-06,121.0,519
2017-06,122.0,425
2017-06,123.0,225
2017-07,120.0,710
2017-07,121.0,574
2017-07,122.0,410
2017-07,123.0,222
2017-08,120.0,684
2017-08,121.0,499
2017-08,122.0,455
2017-08,123.0,231
2017-09,120.0,630
2017-09,121.0,536
2017-09,122.0,416
2017-09,123.0,212
2017-10,120.0,679
2017-10,121.0,529
2017-10,122.0,441
2017-10,123.0,203
2017-11,120.0,545
2017-11,121.0,487
2017-11,122.0,379
2017-11,123.0,174
2017-12,120.0,538
2017-12,121.0,464
2017-12,122.0,320
2017-12,123.0,178
